Teff,logg,MH,FeH,AlphaM,SiFe,AlFe,MgFe,NiFe,eTeff,elogg,eMH,eFeH,eAlphaM,eSiFe,eAlFe,eMgFe,eNiFe,RAVE_OBS_ID
5032.9384765625,3.637908458709717,-0.18989259004592896,-0.18356305360794067,0.05147094279527664,0.03561350703239441,0.09601497650146484,0.093471959233284,0.02200564742088318,35.0205078125,0.017414093017578125,0.05490297079086304,0.038319408893585205,0.004293672740459442,0.009777873754501343,0.005744516849517822,0.004103019833564758,0.006141930818557739,20050331_1101m01_054
4813.154296875,3.199134588241577,0.06680560111999512,0.0612260103225708,-0.01691316068172455,0.002604454755783081,0.021082371473312378,0.004899993538856506,0.020534902811050415,30.8603515625,0.03147149085998535,0.03440392017364502,0.0212709903717041,0.01012970507144928,0.022204816341400146,0.015797406435012817,0.010798081755638123,0.0067965686321258545,20110825_1904m20_099
6265.76513671875,4.0390801429748535,0.011855125427246094,0.009865105152130127,0.0005378276109695435,0.021336078643798828,-2.8342008590698242e-05,-0.005316600203514099,-0.002500087022781372,1.19287109375,0.05608510971069336,0.02711308002471924,0.014059245586395264,0.008405208587646484,0.00822034478187561,0.010130614042282104,0.010356351733207703,0.010666579008102417,20040607_1456m05_027
4729.169677734375,2.4262287616729736,-0.28377217054367065,-0.29935866594314575,0.1306019425392151,0.15436813235282898,0.12837764620780945,0.17210039496421814,0.07151961326599121,36.225830078125,0.046714067459106445,0.01525038480758667,0.004282772541046143,0.022362440824508667,0.02708759903907776,0.0383056104183197,0.029612571001052856,0.01719224452972412,20080627_1608m12_048
4084.6788330078125,4.85600209236145,-0.3965010643005371,-0.37971818447113037,0.0009638220071792603,-0.08422213792800903,-0.08401739597320557,-0.060986027121543884,0.018242955207824707,13.8240966796875,0.0022652149200439453,0.045908331871032715,0.006561160087585449,0.014480441808700562,0.011155754327774048,0.01355290412902832,0.031254127621650696,0.008644163608551025,20120724_2239m14_010
4708.34423828125,2.6601173877716064,0.029176771640777588,0.03293806314468384,0.0026026740670204163,0.0181533545255661,-0.005705595016479492,0.015437766909599304,0.010652750730514526,38.37255859375,0.023189306259155273,0.04428011178970337,0.030528128147125244,0.003181539475917816,0.010923966765403748,0.008358657360076904,0.006625130772590637,0.009647220373153687,20091114_0640m34_063
6147.316162109375,4.292413949966431,-0.009971082210540771,-0.0153312087059021,0.015989340841770172,0.049669668078422546,0.05435723066329956,0.04714830219745636,0.03439128398895264,15.239501953125,0.06220602989196777,0.012170135974884033,0.011043846607208252,0.004725687205791473,0.020451441407203674,0.034022510051727295,0.014543816447257996,0.0005438923835754395,20050321_0503m71_129
4759.311279296875,2.675572156906128,0.07736039161682129,0.08028101921081543,-0.002696104347705841,0.0157717764377594,0.00782930850982666,0.010984599590301514,0.014259815216064453,17.704833984375,0.029183149337768555,0.02820909023284912,0.017014622688293457,0.0024560466408729553,0.0019260644912719727,0.012951552867889404,0.003887474536895752,0.008699655532836914,20050328_1634m02_068
5635.79150390625,3.9742419719696045,0.08644664287567139,0.0670856237411499,0.007869772613048553,0.060455888509750366,0.05953240394592285,0.016571521759033203,0.02266627550125122,43.8330078125,0.0014641284942626953,0.030704498291015625,0.03345894813537598,0.008303157985210419,0.004725128412246704,0.026981890201568604,0.006651848554611206,0.005844593048095703,20120909_0025p00_017
5124.55615234375,4.659837484359741,-0.3346599340438843,-0.3461448550224304,0.03566965460777283,0.017421618103981018,0.01312825083732605,0.06691248714923859,-0.0012472271919250488,38.92236328125,0.028080224990844727,0.03871607780456543,0.011185705661773682,0.009259551763534546,0.018097922205924988,0.025313109159469604,0.004404887557029724,0.018054306507110596,20120619_1705m61_060
